Employee ID,Username,Password,Name,Position,Email,Department,Hourly Rate,Password (Plain Text)
IT002,alastair,085F7137A5D4C38A49FB01C43B0EA2DE,ALASTAIR KNIGHT,INDUSTRIAL TRAINEE,alastair@hotmail.com,IT,10,UT4(n%6h
IT003,traci,E5064C85BDDD812761C4F843D3034CE1,TRACI CONWAY,INDUSTRIAL TRAINEE,traci@gmail.com,IT,10,ecI2)6cw
IT004,arabella,F0C92CC3EECBD7949DD292E3258F3EFA,ARABELLA HO,SOFTWARE ENGINEER,arabella@yahoo.com,IT,25,f2^t6zM!
IT005,coral,EBBC50ECD918B89E84DC00A0B223C3A7,CORAL HALE,NETWORK ENGINEER,coral@yahoo.com,IT,25,yAfs3c&F
IT006,fahad,3863A5A0DC1071DC89F7AC5BC7E5F832,FAHAD TERRELL,IT MANAGER,fahad@outlook.com,IT,50,AZ@b^aBq
IT007,fintan,BD0410DE8DA0EEBC0F91CB55A122DEA7,FINTAN CONNER,SOFTWARE DEPARTMENT HEAD,fintan@gmail.com,IT,35,*54McxUD
IT008,beat,85C77AF8494519803065C6484AFACB35,BEATRIX MOYER,INFRASTRUCTURE DEPARTMENT HEAD,beat@yahoo.com,IT,35,29Kq28d3
IT009,bethan,2D88C2437201AB93B300FAE5F305A4EF,BETHAN PRESTON,NETWORK ENGINEER,bethan@hotmail.com,IT,25,2gw9Nw7p
IT010,todd,8E83D0582D8DF7922B7B911FE32A4CB6,TODD BURTON,SOFTWARE ENGINEER,todd@gmail.com,IT,25,K#gJhYEJ
IT011,cayden,711B6F4FE8301CCDE4CF2162B73955B6,CAYDEN BEAN,PENETRATION TESTER,cayden@yahoo.com,IT,40,FWLU+yJ%
